date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:59	21063/21063	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2019:33:59%20GMT	https://www.artesiangroup.co.uk/pdf/TMP_2019_flyer.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/TMP_2019_flyer.pdf	(from https://www.artesiangroup.co.uk/Sales-organisation-transformation)
20:33:59	21063/21063	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2019:34:00%20GMT	https://www.artesiangroup.co.uk/pdf/breakthrough_thinking_2019_flyer.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/breakthrough_thinking_2019_flyer.pdf	(from https://www.artesiangroup.co.uk/Sales-organisation-transformation)
20:33:59	21063/21063	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2019:34:00%20GMT	https://www.artesiangroup.co.uk/pdf/breakthrough_coaching_2019.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/breakthrough_coaching_2019.pdf	(from https://www.artesiangroup.co.uk/Sales-organisation-transformation)
20:34:00	85263/85263	---M--	200	added ('OK')	image/jpeg	etag:%2254350496-14d0f%22	https://www.artesiangroup.co.uk/img/clients.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/clients.jpg	(from https://www.artesiangroup.co.uk/who-we-work-with)
20:34:00	129637/129637	---M--	200	added ('OK')	image/jpeg	etag:%2254350494-1fa65%22	https://www.artesiangroup.co.uk/img/bomb.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/bomb.jpg	(from https://www.artesiangroup.co.uk/bombardier-aerospace)
20:34:00	154837/154837	---M--	200	added ('OK')	image/jpeg	etag:%2254350498-25cd5%22	https://www.artesiangroup.co.uk/img/EIB.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/EIB.jpg	(from https://www.artesiangroup.co.uk/european-investment-bank)
20:34:01	101526/101526	---M--	200	added ('OK')	image/jpeg	etag:%225435049b-18c96%22	https://www.artesiangroup.co.uk/img/NHS.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/NHS.jpg	(from https://www.artesiangroup.co.uk/Winchester-and-Eastleigh-NHS-Trust)
20:34:01	133717/133717	---M--	200	added ('OK')	image/jpeg	etag:%225435049f-20a55%22	https://www.artesiangroup.co.uk/img/USS.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/USS.jpg	(from https://www.artesiangroup.co.uk/Major-steel-company)
20:34:01	76362/76362	---M--	200	added ('OK')	image/jpeg	etag:%225c058769-12a4a%22	https://www.artesiangroup.co.uk/img/Courses.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/Courses.jpg	(from https://www.artesiangroup.co.uk/course-dates)
20:34:02	756775/756775	---M--	200	added ('OK')	application/pdf	etag:%225eaff756-b8c27%22	https://www.artesiangroup.co.uk/pdf/Virtual_Transforming_Meetings_2020.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/Virtual_Transforming_Meetings_2020.pdf	(from https://www.artesiangroup.co.uk/course-dates)
20:34:02	688356/688356	---M--	200	added ('OK')	application/pdf	etag:%225ebd128d-a80e4%22	https://www.artesiangroup.co.uk/pdf/Virtual_TP_course_2020.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/Virtual_TP_course_2020.pdf	(from https://www.artesiangroup.co.uk/course-dates)
20:34:02	693754/693754	---M--	200	added ('OK')	application/pdf	etag:%225eaff74d-a95fa%22	https://www.artesiangroup.co.uk/pdf/LDP_2020.pdf	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/pdf/LDP_2020.pdf	(from https://www.artesiangroup.co.uk/course-dates)
20:34:02	111187/111187	---M--	200	added ('OK')	image/jpeg	etag:%225435049b-1b253%22	https://www.artesiangroup.co.uk/img/Our-Team.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/Our-Team.jpg	(from https://www.artesiangroup.co.uk/our-team)
20:34:03	15776/15776	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2019:34:03%20GMT	https://www.artesiangroup.co.uk/praise	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/praise.html	(from https://www.artesiangroup.co.uk/our-team)
20:34:03	79826/79826	---M--	200	added ('OK')	image/jpeg	etag:%2254350494-137d2%22	https://www.artesiangroup.co.uk/img/associates.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/associates.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:03	21936/21936	---M--	200	added ('OK')	image/jpeg	etag:%2254350497-55b0%22	https://www.artesiangroup.co.uk/img/clive.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/clive.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:03	11286/11286	---M--	200	added ('OK')	image/jpeg	etag:%2254350497-2c16%22	https://www.artesiangroup.co.uk/img/daphne.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/daphne.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:03	24496/24496	---M--	200	added ('OK')	image/jpeg	etag:%225435049a-5fb0%22	https://www.artesiangroup.co.uk/img/jeremy.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/jeremy.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:03	26732/26732	---M--	200	added ('OK')	image/jpeg	etag:%225435049d-686c%22	https://www.artesiangroup.co.uk/img/shelley.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/shelley.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:04	25321/25321	---M--	200	added ('OK')	image/jpeg	etag:%2254350497-62e9%22	https://www.artesiangroup.co.uk/img/david.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/david.jpg	(from https://www.artesiangroup.co.uk/associates)
